7,7,7,81,82,82,83,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,59,327,328,328,328,328,329,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,59,351,352,352,352,352,353,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,59,351,352,352,352,352,353,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,59,351,352,352,352,352,353,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,59,351,352,352,352,352,353,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,59,351,352,352,352,352,353,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,89,15,7,7,7,7,7,7,7,59,351,352,352,352,352,353,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,37,38,39,7,7,7,7,7,7,7,59,351,352,352,352,352,353,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,7,7,7,57,61,62,63,59,7,7,7,7,7,7,59,351,352,352,352,352,353,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,219,220,220,220,220,221,7,7,7,57,85,86,87,59,7,7,7,7,7,7,59,351,352,352,352,352,353,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,243,244,244,244,244,245,7,7,7,57,109,88,111,59,7,7,7,7,7,7,59,375,376,376,376,376,377,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
